// id,IH,IM,sD,code,name _la,name_en,なまえ,이름
1,0,40,38,And,Andromeda,Chained Maiden,アンドロメダ,안드로메다
2,10,0,-35,Ant,Antlia,Air Pump,ポンプ,공기펌프
3,16,0,-76,Aps,Apus,Bird of Paradise,ふうちょう,극락조
4,19,30,2,Aql,Aquila,Eagle,わし,독수리
5,22,20,-13,Aqr,Aquarius,Water Bearer,みずがめ,물병
6,17,10,-55,Ara,Ara,Altar,さいだん,제단
7,2,30,20,Ari,Aries,Ram,おひつじ,양
8,6,0,42,Aur,Auriga,Charioteer,ぎょしゃ,마차부
9,14,35,30,Boo,Bootes,Herdsman,うしかい,목동
10,4,50,-38,Cae,Caelum,Engraving Tool,ちょうこくぐ,조각도
11,5,40,70,Cam,Camelopardalis,Giraffe ,きりん,기린
12,20,50,-20,Cap,Capricornus,Goat,やぎ,바다염소
13,8,40,-62,Car,Carina,Keel ,りゅうこつ,용골
14,1,0,60,Cas,Cassiopeia,Queen,カシオペヤ,카시오페이아
15,13,20,-47,Cen,Centaurus,Centaur,ケンタウルス,켄타우루스
16,22,0,70,Cep,Cepheus,King,ケフェウス,케페우스
17,1,45,-12,Cet,Cetus,Whale,くじら,고래
18,10,40,-78,Cha,Chamaeleon,Chameleon ,カメレオン,카멜레온
19,14,50,-63,Cir,Circinus,Compass,コンパス,컴퍼스
20,6,40,-24,CMa,Canis Major,Great Dog,おおいぬ,큰개
21,7,30,6,CMi,Canis Minor,Lesser Dog,こいぬ,작은개
22,8,30,20,Cnc,Cancer,Crab ,かに,게
23,5,40,-34,Col,Columba,Dove ,はと,비둘기
24,12,40,23,Com,Coma Berenices,Berenice’s Hair,かみのけ,머리털
25,18,30,-41,CrA,Corona Australis,Southern Crown,みなみのかんむり,남쪽왕관
26,15,40,30,CrB,Corona Borealis,Northern Crown,かんむり,북쪽왕관
27,11,20,-15,Crt,Crater,Cup,コップ,컵
28,12,20,-60,Cru,Crux,Southern Cross,みなみじゅうじ,남십자
29,12,20,-18,Crv,Corvus,Crow ,からす,까마귀
30,13,0,40,CVn,Canes Venatici,Hunting Dogs,りょうけん,사냥개
31,20,30,43,Cyg,Cygnus,Swan ,はくちょう,백조
